,0
0,3.775009227948338
1,-4.502219403928544
2,2.267947414004352
3,-0.7417123755710828
4,-1.3179209251770692
5,-1.511400356770432
6,-1.0263717485763106
7,-0.6155487027413905
8,2.0898566145022817
9,-0.1139892338079642
10,0.5075909421414418
11,-0.13103558068836624
12,0.6447106032794344
13,0.15618746266131747
14,-1.3618730087162916
15,-1.9885011713253176
16,-2.3037682276800435
17,0.9587992331099504
18,-0.6107275228643035
19,-1.9201244841895413
20,-0.9082158957621502
21,-4.020688015765853
22,-2.337912087062597
23,0.10020507397292797
24,-1.6863300506320695
25,-1.14705248888183
26,-1.6514122865929637
27,1.062513805974488
28,1.0513260685268258
29,0.5215605561330584
30,-1.2108878127703508
31,-0.16528787023899147
32,1.6692487608472306
33,-3.3774772922791843
34,1.1455072681745273
35,-3.2497172979802316
36,-1.7861678764917015
37,1.3209197284063727
38,2.9387339271852433
39,-1.0160907538394288
40,0.5728247390024355
41,-1.857665858911469
42,1.3273509981336913
43,-1.4135634942630746
44,1.1793555667964981
45,1.9422468228862684
46,-2.1449763129674344
47,2.884451908180853
48,0.18659389611879126
49,-2.783068561657932
50,-0.2879772426417244
51,-2.6076698675296948
52,-0.2084957497827031
53,2.430938254204955
54,0.23561441325971785
55,2.5034474216407143
56,1.3161256771361796
57,1.5020836495673116
58,-2.755655391764237
59,-0.4702381892343028
60,-1.052979022844006
61,-0.23317669798604265
62,0.9293721196389378
63,-1.1736953096976157
64,3.5626721466767184
65,0.2562657339490577
66,0.3066585528667378
67,-1.5116617184538934
68,-1.5769890183494557
69,-0.8881486509175159
70,-1.0676884437054095
71,1.3963912859784626
72,1.5649118383824066
73,2.1647876384060463
74,3.5857809723128566
75,-0.7505636345260064
76,0.01982121320128694
77,-0.8059951914399596
78,-2.304279971262642
79,3.1895424986054968
80,1.0246387278972826
81,1.188755314755148
82,-0.7193691583366699
83,1.067443422300092
84,-0.5613974909478717
85,0.5710844205202276
86,-0.3384015464496337
87,-0.12596863597239713
88,0.3484692975816945
89,0.10621395526799013
90,1.6086306375671593
91,0.03800512179509831
92,-0.6190837332318039
93,-0.5652677776624334
94,0.8419234510203153
95,0.1523633481256406
96,0.35286664884677543
97,0.4749295238627804
98,-0.7705046569004094
99,0.9503965855335414
100,0.6505213535746257
101,3.2635336439236227
102,3.222037771309299
103,2.4275886975320335
104,-1.4285449430575865
105,1.7375277815994596
106,1.3195747961902533
107,2.034301457329872
108,0.5701844635002751
109,-1.2103424498685815
110,-0.01668996385411671
111,-0.7199563324489936
112,-1.174741824855532
113,-0.7766152523028788
114,-0.10287583393046157
115,-2.694641436036681
116,-0.3707375033443909
117,1.8834894889554008
118,-1.3542930672763975
119,2.7589385958419563
120,0.3331608037483937
121,0.5613183344498596
122,1.6736439910538474
123,-0.4932790081062539
124,0.125624101448815
125,0.14221422881311974
126,0.3754750616803959
127,1.5780639915487966
128,-1.4782017549424618
129,3.5148626309336426
130,-1.0334339289296468
131,1.3702220282388402
132,0.1839594218952292
133,-1.2300654938439777
134,-0.6899786951844905
135,-3.1189222540368258
136,0.6449848678438684
137,-0.041758540847527406
138,-0.2341592769911965
139,2.439849047858401
140,1.990062800719033
141,-1.2898415953880522
142,0.6711756878571196
143,1.7337564836027362
144,-6.7748862829373
145,-2.3237977787626933
146,0.7605333331027877
147,0.9340560815514051
148,-0.6589418607196523
149,-1.9332490318979143
150,1.0449812787672053
151,0.34587073774591304
152,2.1013999137277217
153,-0.1776824077915029
154,-0.33078055787371097
155,2.1932473078042998
156,0.5223036345506605
157,-2.1141419085956183
158,1.1971007324931549
159,-0.5040564649995842
160,-0.7948743555174479
161,0.5165281137375309
162,-1.5490731527757649
163,0.4706430756491184
164,0.05976496777849837
165,-0.5390003120878993
166,0.3767267816825354
167,1.5687018019496208
168,-0.6499272723346783
169,0.3465943603460617
170,0.7231300051678333
